20 17 13.1,74 40.8 48
20 23 19.01,31 53.03 1.8
20 27 59.5,-21 40.95 57
20 35 34.01,18 57.08 4.8
20 38 37.01,51 19.22 13.2
20 39 24.41,-25 14.51 30.6
20 42 37.3,75 8.03 1.8
20 43 45.7,-26 33.02 1.2
20 48 12,7 1.28 16.8
20 55 38.81,61 22.01 0.6
21 7 14.81,23 31.75 45
21 14 1.2,82 4.8 48
21 14 52.9,20 26.45 27
21 18 33,26 26.81 48.6
21 22 46.3,17 4.63 37.8
21 23 44.5,25 4.2 12
21 30 32.9,5 2.29 17.4
21 31 9,49 29.14 8.4
21 33 34.1,82 39.1 6
21 34 10.3,-1 53.29 17.4
21 36 38.59,0 0 0
21 44 11.69,28 10.31 18.6
21 48 5.4,6 57.65 39
21 50 23.59,14 49.8 48
21 51 29.9,-55 20.21 12.6
21 51 45.91,21 30.23 13.8
21 51 54.7,-15 37.46 27.6
21 52 24.79,17 34.63 37.8
21 55 25.39,8 46.8 48
21 55 52.3,38 0.5 30
21 57 6,-69 41.4 24
22 2 43.3,42 16.67 40.2
22 3 15,31 45.64 38.4
22 4 17.59,4 40.03 1.8
22 5 14.3,13 5.53 31.8
22 6 4.9,29 29.33 19.8
22 8 3.1,65 19.65 39
22 11 33.1,15 30.47 28.2
22 12 1.61,8 19.28 16.8
22 12 37.99,1 52.85 51
22 14 46.9,13 50.45 27
22 14 57,35 51.41 24.6
22 16 0.1,-28 3.5 30
22 23 49.51,-2 6.22 13.2
22 25 47.21,-4 57.02 1.2
22 31 20.9,39 21.8 48
22 31 43.2,-8 24.53 31.8
22 32 36.41,11 43.85 51
22 33 37.99,36 1.1 6
22 38 29.5,35 19.69 41.4
22 39 11.4,-17 20.47 28.2
22 43 26.4,-25 44.51 30.6
22 45 48.79,39 41.27 16.2
22 45 58.99,-17 37.55 33
22 50 32.81,19 31.35 21
22 51 34.7,18 48.67 40.2
22 53 57.7,16 8.9 54
22 54 21,13 41.81 48.6
22 55 3.91,13 13.57 34.2
22 55 4.2,-8 44.06 3.6
23 1 26.59,57 6.43 25.8
23 2 1.39,14 1.63 37.8
23 2 3.31,14 1.27 16.2
23 3 3,-18 41.44 26.4
23 7 45.6,19 1.35 21
23 10 42.29,7 34.07 4.2
23 12 7.61,18 45.68 40.8
23 17 22.39,-11 22.39 23.4
23 18 39.29,18 41.35 21
23 20 34.1,62 17.57 34.2
23 20 42.5,8 13.01 0.6
23 22 25.99,50 57.86 51.6
23 24 32.11,14 38.36 21.6
23 28 10.61,29 37.15 9
23 33 31.1,9 25.57 34.2
23 37 57.29,-2 30.97 58.2
23 38 29.4,27 1.88 52.8
23 40 0.79,27 8.02 1.2
23 40 51,-28 48.7 42
23 40 57.89,4 31.27 16.2
23 48 27.41,75 37.1 6
23 52 21,33 4 0
23 55 9.41,49 50.14 8.4
23 55 54.29,28 35.96 57.6
23 57 18.41,14 46.16 9.6
23 57 30,47 26.36 21.6
23 59 2.11,70 28.03 1.8
23 59 58.61,0 0 0
